,Unnamed: 0,Unnamed: 0.1,address,categories,city,name,postalCode,province,reviews.rating,reviews.text,reviews.username
0,0,0,525 Main Ave N,"Hotel,Lodging,Motels,Hotels",Harmony,Country Lodge Motel,55939,MN,3.0,"We stayed here for Luther Family weekend in September. We could not get a hotel in Decorah Iowa and this was the next closest place. It is a small hotel with a small parking lot. Friday night when we checked in we were greeted and given our key, and it is literally a key not the credit card looking keys... More",WisconsinTravelnut
1,1,1,525 Main Ave N,"Hotel,Lodging,Motels,Hotels",Harmony,Country Lodge Motel,55939,MN,4.0,"I stayed here because I had a family wedding to attend. It definitely had a country feel with quilts and flannel linens. The motel was very clean, and felt comfortable. My room had a microwave and refrigerator. The wi-fi was slow, but usable. I would stay here again.",lwilsey1
2,2,2,525 Main Ave N,"Hotel,Lodging,Motels,Hotels",Harmony,Country Lodge Motel,55939,MN,3.0,"Stayed here for Parents' Weekend at Luther College in Decorah. Other accommodations were full in town, and this is about 20 minutes away. The motel is a basic older motel. We've stayed here once before, and found it clean, so returned. This time I was less entranced. There are two buildings and we were in a different building this time... More",winniewms
3,3,3,525 Main Ave N,"Hotel,Lodging,Motels,Hotels",Harmony,Country Lodge Motel,55939,MN,4.0,"The place was easy to find, right on the main drag. Within walking distance to the shopping downtown. The room was clean, had all the amenities, blowdryer, fridge, microwave, clothes iron, coffee maker. Very slightly shabby but homey. Price was affordable. I would stay there again.",Terry S
4,4,4,525 Main Ave N,"Hotel,Lodging,Motels,Hotels",Harmony,Country Lodge Motel,55939,MN,4.0,"We checked into our hotel on a busy Friday night, in this quaint little hotel. We have stayed here several times before and always are reassured that we will have another beautiful weekend, with very comfortable accommodations. The hotel is only about 20 minutes from the college, located in the small town of Harmony. The same family has owned the... More",Chele T
5,5,5,525 Main Ave N,"Hotel,Lodging,Motels,Hotels",Harmony,Country Lodge Motel,55939,MN,5.0,We stayed here while touring around SE Minnesota. It was a great place to stay and visit some of the sites in the area. The motel is very clean and the room was large with a very comfortable bed. The owners were very helpful with ideas on what to see and how to get there. On Saturday there were Amish... More,blueneoncafe
6,6,6,525 Main Ave N,"Hotel,Lodging,Motels,Hotels",Harmony,Country Lodge Motel,55939,MN,4.0,"Harmony was a good location for me, but other reviews of this motel made me reluctant to try it. Very glad I did. It looks like a chain hotel, right on main highway. Phone was answered on first try to make a reservation. Very friendly staff. Efficient check in. Helpful with directions to trail head. Room 103 was clean and... More",contentViroqua
7,7,7,525 Main Ave N,"Hotel,Lodging,Motels,Hotels",Harmony,Country Lodge Motel,55939,MN,3.0,"Very conveniently located, but I wasn't impressed. Had a chance to meet both owners, and they were friendly, but person who was working the desk when we checked in was a bit aloof and cool. Room was old, and the fan/light in the ceiling was shaking so badly that I thought it would fall down on us, so I turned... More",M E
8,8,8,525 Main Ave N,"Hotel,Lodging,Motels,Hotels",Harmony,Country Lodge Motel,55939,MN,5.0,"This summer, we brought our kids to visit the Amish village near the hotel before school started. We chose the Country Lodge Inn for our stay, which was a pleasant experience for us. Friendly, clean, and very comfortable place to stay. Definitely would choose to come again.",Fan F
9,9,9,525 Main Ave N,"Hotel,Lodging,Motels,Hotels",Harmony,Country Lodge Motel,55939,MN,5.0,"The rooms are clean and the owners are friendly. It feels like your own home. The hotel is in the middle of many scenic areas. There is a biking trail that covers the Preston valley, apple orchards, and caverns, and there are Amish families in the area. On Saturday mornings the Amish have a farmers market where they sell baked... More",Douglas D
10,10,10,716 21st St,Hotels,Virginia Beach,Ambassadors Inn and Suites,23451,VA,5.0,Relaxing. Nice and peaceful.,James
11,11,11,716 21st St,Hotels,Virginia Beach,Ambassadors Inn and Suites,23451,VA,3.0,Room could use upgrades. It is not walking distance to beach.better to pay the extra to stay closer to beach and restaurants.,A Traveler
12,12,12,716 21st St,Hotels,Virginia Beach,Ambassadors Inn and Suites,23451,VA,3.0,The hotel was great for our stay. It was a couples trip for beach week. The only things I didn't like was the cleanliness of the bathroom. And as a women that's a big part of staying in the hotel,Aquirah
13,13,13,716 21st St,Hotels,Virginia Beach,Ambassadors Inn and Suites,23451,VA,3.0,"Not a bad stay , hotel could use a remodel. .nice to have a 24 hr restaurant on premises. .pool was nice as well. .I'd book again",tommy
14,14,14,716 21st St,Hotels,Virginia Beach,Ambassadors Inn and Suites,23451,VA,2.0,Musty smelling bathroom. Continental breakfast was a joke. Bananas were edible.,Terry
15,15,15,716 21st St,Hotels,Virginia Beach,Ambassadors Inn and Suites,23451,VA,2.0,"Went to Virginia Beach to pick up our son from deployment. Checked into our hotel on Friday evening. Went to our room, which looked nice at first. Looked under the mattress only to find a bedbug. Manager tried to say it was a cockroach. They did offer to upgrade our room but I just wanted a refund. I only got refunded one night and lost my money for the second night. Definitely would not recommend staying there.",Patricia
16,16,16,716 21st St,Hotels,Virginia Beach,Ambassadors Inn and Suites,23451,VA,2.0,overpriced/older/bed ok/fridge grimy iced/brkf ended too early for a Sat am,A Traveler
17,17,17,716 21st St,Hotels,Virginia Beach,Ambassadors Inn and Suites,23451,VA,1.0,"We atayed at the hotel from 7/3-7/6. The room was old, smelly, bathtub was broken, toilet seat was burned and the water presure was incosistent. Carpet was old and dirty. Room service came one time and just made our beds with all that was in our bed such as cheerios and baby's toys. They did not change our towels or clean the bathroom. Water in the pool was cold. Lot of noise around the pool did not make our stay relaxing. They charged 220 per night. It is such a shame to rip off hard working American people just bc they wanted to celebrate their most important holiday July 4th. This room is not worth 30. Would not recomend this hotel to anyone.",A Traveler
18,18,18,716 21st St,Hotels,Virginia Beach,Ambassadors Inn and Suites,23451,VA,4.0,Refrigerators was rusted,D
19,19,19,716 21st St,Hotels,Virginia Beach,Ambassadors Inn and Suites,23451,VA,1.0,Got a headache every time I went to the room. I think mold is in the walls. There were bugs in our beds. I didn't stay the second night that we had paid for.,Kevin
20,20,20,716 21st St,Hotels,Virginia Beach,Ambassadors Inn and Suites,23451,VA,4.0,Enjoyed my stay I will stay again,Charles
21,21,21,716 21st St,Hotels,Virginia Beach,Ambassadors Inn and Suites,23451,VA,3.0,Would stay again,Jordan
22,22,22,716 21st St,Hotels,Virginia Beach,Ambassadors Inn and Suites,23451,VA,1.0,"This was a true nightmare. The add stated it was oceanfront, it wasnt! the front door would not lock. It had gray duct on the lock section, which was painted it over. It appeared to be a place for squatters. It was not safe. The furniture was old, outdated and it smelled. And we couldn't get a refund!",Jordan
23,23,23,716 21st St,Hotels,Virginia Beach,Ambassadors Inn and Suites,23451,VA,4.0,"The Hotel staff were very friendly and accommodating. The rooms were fine. There was a mini fridge, microwave, hair dryer, and ironing board/iron. However the showers were awful. The water would get scalding hot and then ice cold. At first we thought it was because everyone was returning from the beach but it continued. The Hotel is in a great location-5 block walk to beach, boardwalk, restaurants, shops and entertainment. The pool was nice with not many people there. All in all experience was fine-I would probably return because the price was good and the only bad thing was the showers.",A Traveler
24,24,24,716 21st St,Hotels,Virginia Beach,Ambassadors Inn and Suites,23451,VA,1.0,The door to our room was broke and didn't even shut and latch. We just pushed it open all the time. The guest service was disorganized at desk and not very friendly. The hotel needs a lot more maintanence.,A Traveler
25,25,25,716 21st St,Hotels,Virginia Beach,Ambassadors Inn and Suites,23451,VA,3.0,"There is ample parking which is great because we would walk or ride our bikes to the beach everyday. We didn't move our car once. The bed was pretty comfortable and clean. The TV was nice and having a fridge and microwave was convenient. There were so many mirrors so there was no issue when getting ready. There was tons of counter space for toiletries inside and outside the bathroom. The bathroom needed and update and good cleaning, but nothing we couldn't handle. We actually booked another room to stay a night longer than expected and we were able to stay in the same room. It was a very easy process.",R
26,26,26,716 21st St,Hotels,Virginia Beach,Ambassadors Inn and Suites,23451,VA,3.0,It suited us as needed a Simple accommodations with basic amenities. In process of renovation. Location was not ideal with no food or coffee had to drive to get one.,R
27,27,27,716 21st St,Hotels,Virginia Beach,Ambassadors Inn and Suites,23451,VA,3.0,"The front desk personnel were great. I will return. Since I work in the travel business, I would recommend.",madeline
28,28,28,716 21st St,Hotels,Virginia Beach,Ambassadors Inn and Suites,23451,VA,2.0,"The hotel charged additional fee for persons over 12 years old. The hotel did not provide facial tissues. The previous hotel guest left his watch in the room. He phoned back to ask us to look for the watch. When we found the watch, I informed the hotel staff and asked that they return the watch to the patron.",Linda
29,29,29,716 21st St,Hotels,Virginia Beach,Ambassadors Inn and Suites,23451,VA,3.0,WiFi did not work well the entire stay.,Anthony
30,30,30,716 21st St,Hotels,Virginia Beach,Ambassadors Inn and Suites,23451,VA,3.0,"I hate reading reviews online because the negative ones are usually from people who usually don't travel a lot and are used to 5 star hotels. This hotel is great for location to the convention center and the beach. My husband and I stayed one night for a dance competition at the convention center. Service was decent, room was clean, and we felt safe in the neighborhood. It's literally 60 seconds from the convention center, so the location was perfect. Would definitely stay here again.",Kristen
